Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL GBP,Return %,Commission GBP,Favorable excursion GBP,Favorable excursion %,Adverse excursion GBP,Adverse excursion %,Cumulative PnL GBP,Cumulative PnL %,Duration (bars)
60,Entry short,11/02/2026 09:45,Short 15M,188.44,1,188.44,-0.32,-0.23,0,0.32,0.23,-0.32,-0.23,7.52,0.75,5
61,Exit long,11/02/2026 13:30,Exit Long 15M,191.12,1,189.12,1.47,1.06,0,1.47,1.06,-0.09,-0.06,8.98,0.9,9
61,Entry long,11/02/2026 11:15,Long 15M,189.12,1,189.12,1.47,1.06,0,1.47,1.06,-0.09,-0.06,8.98,0.9,9
62,Exit long,11/02/2026 18:15,Exit Long 15M,191.21,1,192.1,-0.65,-0.46,0,0.13,0.09,-0.65,-0.46,8.33,0.83,2
62,Entry long,11/02/2026 17:45,Long 15M,192.1,1,192.1,-0.65,-0.46,0,0.13,0.09,-0.65,-0.46,8.33,0.83,2
63,Exit short,11/02/2026 23:00,Exit Short 15M,190.36,1,190.05,-0.23,-0.16,0,0.21,0.15,-0.34,-0.25,8.1,0.81,8
63,Entry short,11/02/2026 21:00,Short 15M,190.05,1,190.05,-0.23,-0.16,0,0.21,0.15,-0.34,-0.25,8.1,0.81,8
64,Exit long,12/02/2026 11:15,Exit Long 15M,191.97,1,190.84,0.83,0.59,0,0.83,0.59,-0.07,-0.05,8.93,0.89,9
64,Entry long,12/02/2026 09:00,Long 15M,190.84,1,190.84,0.83,0.59,0,0.83,0.59,-0.07,-0.05,8.93,0.89,9
65,Exit short,13/02/2026 22:45,Exit Short 15M,182.96,1,184.25,0.95,0.7,0,1.95,1.44,-1.39,-1.03,9.88,0.99,32
65,Entry short,13/02/2026 14:45,Short 15M,184.25,1,184.25,0.95,0.7,0,1.95,1.44,-1.39,-1.03,9.88,0.99,32
66,Exit short,17/02/2026 11:30,Exit Short 15M,181.43,1,180.89,-0.4,-0.3,0,0.32,0.24,-0.4,-0.3,9.48,0.95,3
66,Entry short,17/02/2026 10:45,Short 15M,180.89,1,180.89,-0.4,-0.3,0,0.32,0.24,-0.4,-0.3,9.48,0.95,3
67,Exit short,17/02/2026 15:45,Exit Short 15M,181.11,1,179.29,-1.34,-1.02,0,0.08,0.06,-1.34,-1.02,8.15,0.81,3
67,Entry short,17/02/2026 15:00,Short 15M,179.29,1,179.29,-1.34,-1.02,0,0.08,0.06,-1.34,-1.02,8.15,0.81,3
68,Exit long,17/02/2026 21:15,Exit Long 15M,187.33,1,184.24,2.27,1.68,0,2.27,1.68,-0.77,-0.57,10.42,1.04,20
68,Entry long,17/02/2026 16:15,Long 15M,184.24,1,184.24,2.27,1.68,0,2.27,1.68,-0.77,-0.57,10.42,1.04,20
69,Exit long,17/02/2026 22:15,Exit Long 15M,186.51,1,187.83,-0.97,-0.7,0,0.04,0.03,-0.97,-0.7,9.44,0.94,3
69,Entry long,17/02/2026 21:30,Long 15M,187.83,1,187.83,-0.97,-0.7,0,0.04,0.03,-0.97,-0.7,9.44,0.94,3
70,Exit long,18/02/2026 09:00,Exit Long 15M,188.05,1,186.45,1.18,0.86,0,1.18,0.86,-0.26,-0.19,10.62,1.06,1
70,Entry long,18/02/2026 00:45,Long 15M,186.45,1,186.45,1.18,0.86,0,1.18,0.86,-0.26,-0.19,10.62,1.06,1
71,Exit short,18/02/2026 22:45,Exit Short 15M,188.35,1,187.9,-0.33,-0.24,0,0.83,0.6,-0.45,-0.32,10.29,1.03,12
